"scenario_label","scenario_family","data_scenario_id","rep_id","covariate","mean_lag1","between_region_var","within_region_var","between_within_ratio","cor_xbar_phi_ident","abs_cor_xbar_phi_ident","cor_vec_x_log_lambda","abs_cor_vec_x_log_lambda","signal_sd_beta_x"
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",1,"x2",NA,1.12374999999998,0,NA,-0.139267003308025,0.139267003308025,-3.48205802519942e-16,3.48205802519942e-16,0.399999999999993
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",2,"x1",0.694444258363956,0.0172056246105562,0.993530303379972,0.0173176646469896,0.33766081247555,0.33766081247555,-0.0283007985103829,0.0283007985103829,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",2,"x2",NA,1.12374999999996,0,NA,-0.251317482851566,0.251317482851566,3.33439448837226e-17,3.33439448837226e-17,0.399999999999991
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",3,"x1",0.654548489900541,0.0599080386610163,0.955189190876754,0.0627185056460151,0.268075143955789,0.268075143955789,0.0470952006021242,0.0470952006021242,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",3,"x2",NA,1.12374999999999,0,NA,0.234821125958516,0.234821125958516,-9.72393040210626e-16,9.72393040210626e-16,0.4
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",4,"x1",0.623275499804601,0.044784555554085,0.968768075821248,0.0462283560656353,0.140792530399794,0.140792530399794,-0.0130742145134696,0.0130742145134696,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",4,"x2",NA,1.12375000000001,0,NA,0.14792906594974,0.14792906594974,-6.86001867260052e-17,6.86001867260052e-17,0.400000000000003
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",5,"x1",0.705241634975949,0.0694841990717777,0.946591067051154,0.073404663840994,-0.35797818738212,0.35797818738212,0.00746217368340712,0.00746217368340712,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",5,"x2",NA,1.12375000000002,0,NA,-0.46755844020025,0.46755844020025,-2.83174757690516e-16,2.83174757690516e-16,0.400000000000001
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",6,"x1",0.69460867927868,0.0306933722315359,0.98142009227247,0.0312744486007675,-0.361777274054503,0.361777274054503,-0.0902072871044109,0.0902072871044109,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",6,"x2",NA,1.12375000000002,0,NA,-0.0799962262869339,0.0799962262869339,1.2252794554467e-16,1.2252794554467e-16,0.399999999999998
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",7,"x1",0.754306844351223,0.0538842209332385,0.960597781429191,0.0560944673982786,-0.329715727743962,0.329715727743962,0.00779732325682643,0.00779732325682643,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",7,"x2",NA,1.12375000000002,0,NA,0.315351574552877,0.315351574552877,-1.13246501188915e-17,1.13246501188915e-17,0.400000000000004
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",8,"x1",0.695079454615249,0.0621003128607323,0.953220818980263,0.0651478772013876,-0.0234298886048113,0.0234298886048113,0.0227903254434365,0.0227903254434365,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",8,"x2",NA,1.12374999999999,0,NA,0.578980366231521,0.578980366231521,-5.23213012708744e-16,5.23213012708744e-16,0.399999999999995
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",9,"x1",0.65540945913053,0.0373991062168987,0.97539923123062,0.0383423576925664,0.270466038014478,0.270466038014478,0.117067920449387,0.117067920449387,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",9,"x2",NA,1.12374999999999,0,NA,-0.39828437994353,0.39828437994353,-1.33050938424524e-16,1.33050938424524e-16,0.399999999999995
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",10,"x1",0.695350645917464,0.0819255828323155,0.935420352114644,0.0875815697692611,-0.0835765287120631,0.0835765287120631,-0.0186327649795581,0.0186327649795581,0.5
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",10,"x2",NA,1.12375000000002,0,NA,-0.208061887498249,0.208061887498249,4.65140756435683e-17,4.65140756435683e-17,0.400000000000006
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",1,"x1",0.649648159106237,0.0533238843858794,0.961100889440289,0.0554820882716417,-0.169963243759613,0.169963243759613,0.14963056832275,0.14963056832275,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",1,"x2",NA,1.12374999999998,0,NA,-0.139267003308025,0.139267003308025,-3.48205802519942e-16,3.48205802519942e-16,0.399999999999993
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",2,"x1",0.694444258363956,0.0172056246105562,0.993530303379972,0.0173176646469896,0.33766081247555,0.33766081247555,-0.0283007985103829,0.0283007985103829,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",2,"x2",NA,1.12374999999996,0,NA,-0.251317482851566,0.251317482851566,3.33439448837226e-17,3.33439448837226e-17,0.399999999999991
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",3,"x1",0.654548489900541,0.0599080386610163,0.955189190876754,0.0627185056460151,0.268075143955789,0.268075143955789,0.0470952006021242,0.0470952006021242,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",3,"x2",NA,1.12374999999999,0,NA,0.234821125958516,0.234821125958516,-9.72393040210626e-16,9.72393040210626e-16,0.4
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",4,"x1",0.623275499804601,0.044784555554085,0.968768075821248,0.0462283560656353,0.140792530399794,0.140792530399794,-0.0130742145134696,0.0130742145134696,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",4,"x2",NA,1.12375000000001,0,NA,0.14792906594974,0.14792906594974,-6.86001867260052e-17,6.86001867260052e-17,0.400000000000003
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",5,"x1",0.705241634975949,0.0694841990717777,0.946591067051154,0.073404663840994,-0.35797818738212,0.35797818738212,0.00746217368340712,0.00746217368340712,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",5,"x2",NA,1.12375000000002,0,NA,-0.46755844020025,0.46755844020025,-2.83174757690516e-16,2.83174757690516e-16,0.400000000000001
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",6,"x1",0.69460867927868,0.0306933722315359,0.98142009227247,0.0312744486007675,-0.361777274054503,0.361777274054503,-0.0902072871044109,0.0902072871044109,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",6,"x2",NA,1.12375000000002,0,NA,-0.0799962262869339,0.0799962262869339,1.2252794554467e-16,1.2252794554467e-16,0.399999999999998
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,"x1",0.754306844351223,0.0538842209332385,0.960597781429191,0.0560944673982786,-0.329715727743962,0.329715727743962,0.00779732325682643,0.00779732325682643,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,"x2",NA,1.12375000000002,0,NA,0.315351574552877,0.315351574552877,-1.13246501188915e-17,1.13246501188915e-17,0.400000000000004
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,"x1",0.695079454615249,0.0621003128607323,0.953220818980263,0.0651478772013876,-0.0234298886048113,0.0234298886048113,0.0227903254434365,0.0227903254434365,0.5
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,"x2",NA,1.12374999999999,0,NA,0.578980366231521,0.578980366231521,-5.23213012708744e-16,5.23213012708744e-16,0.399999999999995
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",9,"x1",0.65540945913053,0.0373991062168987,0.97539923123062,0.0383423576925664,0.270466038014478,0.270466038014478,0.117067920449387,0.117067920449387,0.5
