"scenario_label","scenario_family","data_scenario_id","rep_id","data_file","TT","n1","n_cells","phi_source","beta0_truth","beta1_truth","beta2_truth","mean_count","zero_prop","count_cv","variance_to_mean","mean_lag1_x1","mean_lag1_x2","sd_lag1_x1","sd_lag1_x2","between_region_var_x1","between_region_var_x2","within_region_var_x1","within_region_var_x2","between_within_ratio_x1","between_within_ratio_x2","cor_x1bar_phi_ident","cor_x2bar_phi_ident","abs_cor_x1bar_phi_ident","abs_cor_x2bar_phi_ident","cor_x1bar_phi_raw","cor_x2bar_phi_raw","abs_cor_x1bar_phi_raw","abs_cor_x2bar_phi_raw","cor_vec_x1_log_lambda","cor_vec_x2_log_lambda","abs_cor_vec_x1_log_lambda","abs_cor_vec_x2_log_lambda","cor_x1bar_lambdabar_region","cor_x2bar_lambdabar_region","abs_cor_x1bar_lambdabar_region","abs_cor_x2bar_lambdabar_region","cor_xtime1_lambdabar_time","cor_xtime2_lambdabar_time","abs_cor_xtime1_lambdabar_time","abs_cor_xtime2_lambdabar_time","cor_vec_x1_x2","abs_cor_vec_x1_x2","cor_bar_x1_x2","abs_cor_bar_x1_x2","signal_sd_beta1_x1","signal_sd_beta2_x2","lag1_x1_minus_x2","abs_cor_x2phi_minus_x1phi","bw_ratio_x2_minus_x1","signal_sd_beta2_minus_beta1"
"S3 control T100","S3","DGP_DYNAMIC_T100",11,"./data_revised/DGP_DYNAMIC_T100/data_rep11.rds",100,9,900,"phi_star_ident",-1.46082883975833,0.5,-0.4,202.09,0,0.879928060927329,156.472909871597,0.688013467274198,0.484669730048646,0.0662719859732059,0.0549342757866805,0.0260506725573882,0.0108335313981757,0.985588621721761,0.999251599193559,0.0264315881730445,0.0108416452942571,0.202504162800487,0.0542925182055824,0.202504162800487,0.0542925182055824,-0.367767785404839,0.287641623608948,0.367767785404839,0.287641623608948,-0.233232203737709,0.110442235863798,0.233232203737709,0.110442235863798,0.31651332147554,0.276094581960234,0.31651332147554,0.276094581960234,-0.222890018946699,0.331537152902169,0.222890018946699,0.331537152902169,-0.0648794156834211,0.0648794156834211,0.12687768376286,0.12687768376286,0.5,0.4,0.203343737225552,-0.148211644594905,-0.0155899428787874,-0.0999999999999995
"S3 control T100","S3","DGP_DYNAMIC_T100",12,"./data_revised/DGP_DYNAMIC_T100/data_rep12.rds",100,9,900,"phi_star_ident",-1.54000554509491,0.5,-0.4,228.074444444445,0,0.989710727905485,223.405150451838,0.711758667291907,0.522334007656181,0.0638345569357876,0.0904478584032934,0.0445482967455134,0.0303766288030196,0.968980204942301,0.981704485923215,0.0459744136343487,0.0309427421781136,-0.594400621237285,0.724515901724574,0.594400621237285,0.724515901724574,-0.505005891961184,0.87109936432268,0.505005891961184,0.87109936432268,-0.0259852794834886,-0.0385101375441654,0.0259852794834886,0.0385101375441654,0.345772329420494,0.341914316018349,0.345772329420494,0.341914316018349,-0.147615440786505,-0.0970994792682796,0.147615440786505,0.0970994792682796,-0.0116154124697639,0.0116154124697639,-0.287003626775994,0.287003626775994,0.5,0.4,0.189424659635726,0.130115280487289,-0.0150316714562351,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",13,"./data_revised/DGP_DYNAMIC_T100/data_rep13.rds",100,9,900,"phi_star_ident",-1.45678056652174,0.5,-0.4,196.535555555556,0,1.09911318346812,237.424736630853,0.633122608963132,0.454793811950258,0.0831352853076341,0.097890032182631,0.0393864618991503,0.0244919168068314,0.973614849024333,0.986988177951218,0.0404538426448813,0.0248148026024704,-0.470924210647272,0.265018492305607,0.470924210647272,0.265018492305607,-0.394414071172908,0.162697944569881,0.394414071172908,0.162697944569881,0.026636855077836,-0.0787535135338667,0.026636855077836,0.0787535135338667,0.491783794760959,-0.298008852925193,0.491783794760959,0.298008852925193,-0.0773902460975022,-0.0218976394696903,0.0773902460975022,0.0218976394696903,0.0596574554671561,0.0596574554671561,0.04802056982567,0.04802056982567,0.5,0.4,0.178328797012874,-0.205905718341665,-0.0156390400424109,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",14,"./data_revised/DGP_DYNAMIC_T100/data_rep14.rds",100,9,900,"phi_star_ident",-1.59786012831472,0.5,-0.4,228.855555555556,0,1.01342289168763,235.040596049955,0.670703014934784,0.490729557538568,0.084633350580651,0.0724076700918615,0.0477607388091339,0.011365531201365,0.96609585741043,0.998773933825934,0.0494368529197031,0.0113794832007958,-0.0597733684673973,0.248674557275343,0.0597733684673973,0.248674557275343,-0.057267038371261,-0.0974358304813254,0.057267038371261,0.0974358304813254,0.0706117498444134,0.00478706515003178,0.0706117498444134,0.00478706515003178,-0.21074432249481,0.624018982417144,0.21074432249481,0.624018982417144,-0.0812534886750445,0.148524730974089,0.0812534886750445,0.148524730974089,0.0189617182045899,0.0189617182045899,-0.28345693866759,0.28345693866759,0.5,0.4,0.179973457396216,0.188901188807946,-0.0380573697189073,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",15,"./data_revised/DGP_DYNAMIC_T100/data_rep15.rds",100,9,900,"phi_star_ident",-1.47860563894211,0.5,-0.4,216.956666666667,0,0.829881950511316,149.418935394985,0.67774476934427,0.422833118156583,0.0595429412919973,0.106501260306562,0.0290407145409549,0.0371621555019445,0.982903960008121,0.975611981591969,0.0295458312536608,0.0380911224986235,0.0437550181443062,0.117315290373656,0.0437550181443062,0.117315290373656,0.15642401266184,-0.112525083611501,0.15642401266184,0.112525083611501,0.0490271901872411,0.0179347585045488,0.0490271901872411,0.0179347585045488,-0.319611214351737,0.0189182523183282,0.319611214351737,0.0189182523183282,-0.0166573349924283,-0.188644789536914,0.0166573349924283,0.188644789536914,0.0506828787694122,0.0506828787694122,0.231678261099487,0.231678261099487,0.5,0.4,0.254911651187688,0.0735602722293502,0.00854529124496263,-0.0999999999999999
"S3 control T100","S3","DGP_DYNAMIC_T100",16,"./data_revised/DGP_DYNAMIC_T100/data_rep16.rds",100,9,900,"phi_star_ident",-1.42601383331857,0.5,-0.4,199.4,0,0.974830035579893,189.488543494778,0.669297776712139,0.488228562090261,0.066559463056418,0.0954679333754194,0.0581802392306566,0.0121573756465223,0.956740525943295,0.998062962382471,0.060810886183894,0.0121809706448795,-0.8296583443246,0.314396651558794,0.8296583443246,0.314396651558794,-0.609133984887934,-0.0496535609181538,0.609133984887934,0.0496535609181538,0.102394615938959,0.0331221866012583,0.102394615938959,0.0331221866012583,0.0853798338451078,-0.141557962865248,0.0853798338451078,0.141557962865248,-0.0777713650785743,-0.205588588277134,0.0777713650785743,0.205588588277134,-0.022051103532434,0.022051103532434,-0.558038102946212,0.558038102946212,0.5,0.4,0.181069214621878,-0.515261692765806,-0.0486299155390146,-0.100000000000001
"S3 control T100","S3","DGP_DYNAMIC_T100",17,"./data_revised/DGP_DYNAMIC_T100/data_rep17.rds",100,9,900,"phi_star_ident",-1.73274692242974,0.5,-0.4,173.68,0,0.96094911423783,160.380141402828,0.683496309778581,0.447919050055295,0.0552395328655969,0.0927949577266075,0.00935783418243788,0.043570189442471,1.00057657985864,0.969858415764336,0.00935244175289405,0.044924278362975,0.0941312869327371,-0.0154738226869209,0.0941312869327371,0.0154738226869209,-0.0650919377920637,-0.22946238161222,0.0650919377920637,0.22946238161222,-0.00452561391848628,0.00068173012227396,0.00452561391848628,0.00068173012227396,0.440601967582855,-0.0667620611455068,0.440601967582855,0.0667620611455068,-0.0158363274506181,0.00642303857619072,0.0158363274506181,0.00642303857619072,0.00269521601469293,0.00269521601469293,0.316535681129848,0.316535681129848,0.5,0.4,0.235577259723286,-0.0786574642458162,0.035571836610081,-0.0999999999999999
"S3 control T100","S3","DGP_DYNAMIC_T100",18,"./data_revised/DGP_DYNAMIC_T100/data_rep18.rds",100,9,900,"phi_star_ident",-1.46984395968342,0.5,-0.4,232.615555555556,0,0.77714986467426,140.490935732243,0.668494246354386,0.476982000027276,0.0532371740600494,0.0746302020381209,0.035095922691442,0.0196392694642182,0.977467185013296,0.991345212602274,0.0359049625701395,0.0198107270954234,0.00500823800256683,-0.0623454617118415,0.00500823800256683,0.0623454617118415,0.0799903117418695,0.0762369478329481,0.0799903117418695,0.0762369478329481,-0.0294835919897219,0.0125453584564662,0.0294835919897219,0.0125453584564662,0.42515898390962,-0.129595481548825,0.42515898390962,0.129595481548825,0.0209639253432777,0.193969285099414,0.0209639253432777,0.193969285099414,0.0199854570576104,0.0199854570576104,-0.42348688388254,0.42348688388254,0.5,0.4,0.19151224632711,0.0573372237092747,-0.0160942354747161,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",19,"./data_revised/DGP_DYNAMIC_T100/data_rep19.rds",100,9,900,"phi_star_ident",-1.6457324988502,0.5,-0.4,122.27,0,0.848833314907674,88.0977354317063,0.69512621328838,0.478001463593929,0.0743170579629313,0.0840585908495209,0.0570181206904835,0.0255934842380318,0.957783954486659,0.985999116284595,0.0595312966179762,0.02595690383017,0.414250588574773,-0.53600026727676,0.414250588574773,0.53600026727676,0.236596442800959,-0.321092404174252,0.236596442800959,0.321092404174252,-0.00018385197912076,-0.0762362805537484,0.00018385197912076,0.0762362805537484,0.743173781725971,-0.334958651822352,0.743173781725971,0.334958651822352,0.224332645258386,-0.0511804627791306,0.224332645258386,0.0511804627791306,0.0679962248653023,0.0679962248653023,-0.156360640223379,0.156360640223379,0.5,0.4,0.21712474969445,0.121749678701987,-0.0335743927878063,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",20,"./data_revised/DGP_DYNAMIC_T100/data_rep20.rds",100,9,900,"phi_star_ident",-1.39437501026065,0.5,-0.4,149.482222222222,0,0.922240919603109,127.138862408307,0.68901389741389,0.439635390195794,0.0543503091482333,0.0672607893090813,0.0459167644687979,0.0331616237966096,0.967751502160453,0.979203929251079,0.0474468542454248,0.0338659014797586,0.089029771188503,-0.0908732632952691,0.089029771188503,0.0908732632952691,0.0471019266579251,-0.0780709160329167,0.0471019266579251,0.0780709160329167,0.0973761910478102,-0.0077384516916956,0.0973761910478102,0.0077384516916956,0.196322703168985,0.469233612306724,0.196322703168985,0.469233612306724,0.179773281321717,-0.00485747415579893,0.179773281321717,0.00485747415579893,0.0654988635696226,0.0654988635696226,-0.0782220371982761,0.0782220371982761,0.5,0.4,0.249378507218096,0.00184349210676613,-0.0135809527656662,-0.1
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",1,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep01.rds",100,9,900,"phi_star_ident",-5.92581758101154,0.5,-0.4,2.38555555555555,0.272222222222222,1.14447762141073,3.12466990958745,0.649648159106237,NA,0.0689231137436822,NA,0.0533238843858794,1.12374999999998,0.961100889440289,0,0.0554820882716417,NA,-0.169963243759613,-0.139267003308025,0.169963243759613,0.139267003308025,-0.250613934460191,0.406215173736609,0.250613934460191,0.406215173736609,0.14963056832275,-3.48205802519942e-16,0.14963056832275,3.48205802519942e-16,0.271425521044871,-0.503915929735746,0.271425521044871,0.503915929735746,0.401266392535509,NA,0.401266392535509,NA,-0.05609249440084,0.05609249440084,-0.257500879407353,0.257500879407353,0.5,0.399999999999993,NA,-0.030696240451588,NA,-0.100000000000007
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",2,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep02.rds",100,9,900,"phi_star_ident",-5.7156523234212,0.5,-0.4,3.58444444444445,0.203333333333333,1.253141087005,5.62887743976741,0.694444258363956,NA,0.0650524437881938,NA,0.0172056246105562,1.12374999999996,0.993530303379972,0,0.0173176646469896,NA,0.33766081247555,-0.251317482851566,0.33766081247555,0.251317482851566,0.247181465051999,0.115494271131122,0.247181465051999,0.115494271131122,-0.0283007985103829,3.33439448837226e-17,0.0283007985103829,3.33439448837226e-17,-0.560095101328394,0.126140294477971,0.560095101328394,0.126140294477971,-0.0580307393056851,NA,0.0580307393056851,NA,-0.0513204950614221,0.0513204950614221,-0.414753889867427,0.414753889867427,0.5,0.399999999999991,NA,-0.0863433296239843,NA,-0.100000000000009
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",3,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep03.rds",100,9,900,"phi_star_ident",-6.03194190506619,0.5,-0.4,2.59777777777778,0.26,1.20931267428143,3.79908671454167,0.654548489900541,NA,0.0635354531489234,NA,0.0599080386610163,1.12374999999999,0.955189190876754,0,0.0627185056460151,NA,0.268075143955789,0.234821125958516,0.268075143955789,0.234821125958516,-0.660657972869862,-0.302684867964357,0.660657972869862,0.302684867964357,0.0470952006021242,-9.72393040210626e-16,0.0470952006021242,9.72393040210626e-16,-0.3322039137315,-0.166522513351986,0.3322039137315,0.166522513351986,-0.0261340051945367,NA,0.0261340051945367,NA,0.0819544383423748,0.0819544383423748,0.354948038035742,0.354948038035742,0.5,0.4,NA,-0.0332540179972731,NA,-0.1
