"scenario_id","rep_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered","covered_95"
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,"beta0",-1.5147890397372,-1.51283661292624,0.00919290961169263,-1.53084273713806,-1.51272044549719,-1.49489987623554,0.00195242681096364,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,"beta1",0.5,0.517360020893134,0.0105852793087787,0.496916980212345,0.517247384944419,0.538757526581039,0.017360020893134,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,"beta2",-0.4,-0.396826740898306,0.00968023392832281,-0.415267851616831,-0.39690356424896,-0.378080124341195,0.00317325910169408,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,"beta0",-1.65564478525192,-1.65713880480854,0.00964225693399956,-1.67533452438651,-1.65733989070369,-1.63795531697396,-0.00149401955661999,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,"beta1",0.5,0.489132829099428,0.0104599420260637,0.468467862499497,0.489227437270947,0.509643745287908,-0.0108671709005716,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,"beta2",-0.4,-0.403492939748794,0.0100605594294135,-0.422859346971867,-0.403466408083519,-0.384066804242709,-0.00349293974879444,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,"beta0",-1.67500995209964,-1.66635239784762,0.00950583807387083,-1.68520118818717,-1.66626440276398,-1.64786632148071,0.00865755425201509,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,"beta1",0.5,0.532103929230968,0.0102470311887685,0.512055157215467,0.532166504251417,0.552531437909325,0.0321039292309684,0,0
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,"beta2",-0.4,-0.394189156997662,0.00957145953304958,-0.413533477657619,-0.394100250378365,-0.375587601083019,0.00581084300233758,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,"beta0",-1.46082883975833,-1.4707733882415,0.00885986650748627,-1.48821732188635,-1.47080502194064,-1.45330659563209,-0.00994454848316129,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,"beta1",0.5,0.489970579939425,0.00993413791149145,0.470157795091696,0.48985016047638,0.509534298871507,-0.0100294200605754,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,"beta2",-0.4,-0.400167690895824,0.0094709808237757,-0.418386080299194,-0.400014887524952,-0.381443508956726,-0.000167690895824302,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"beta0",-1.54000554509491,-1.53040897799946,0.00916896592842203,-1.5477721892509,-1.53032592648733,-1.51257311661381,0.00959656709544787,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"beta1",0.5,0.489189041020071,0.00994656629177126,0.469743527927469,0.489034485255214,0.508755062186133,-0.0108109589799287,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"beta2",-0.4,-0.409181175081198,0.00944634750417347,-0.427989866772709,-0.409052584827239,-0.39101549568605,-0.00918117508119803,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"beta0",-1.45678056652174,-1.45349020565924,0.00943036245874619,-1.47182821183175,-1.45344767882399,-1.43506154900592,0.00329036086249501,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"beta1",0.5,0.510841341494552,0.0108190516937069,0.489443674285562,0.510890956071437,0.53181776478712,0.0108413414945517,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"beta2",-0.4,-0.385175340183851,0.0100536926156507,-0.405319130905486,-0.384943851900542,-0.366083127481894,0.0148246598161487,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"beta0",-1.59786012831472,-1.593745548681,0.00911648948129488,-1.61161508116213,-1.59386085716276,-1.57543043056378,0.00411457963371542,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"beta1",0.5,0.509383983097724,0.00930049794396143,0.491461897826972,0.509529747777005,0.527152453925245,0.00938398309772426,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"beta2",-0.4,-0.402909345680211,0.00906129283150468,-0.420329671974106,-0.40286299121593,-0.385086420090506,-0.00290934568021117,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"beta0",-1.47860563894211,-1.47104281133961,0.0090027177283164,-1.48892767755675,-1.47101212791024,-1.45334645077227,0.00756282760250193,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"beta1",0.5,0.508362689635748,0.00978259138266337,0.488933193751856,0.508495774587287,0.527000292129765,0.00836268963574849,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"beta2",-0.4,-0.403568922750212,0.00947390366468362,-0.42187581136321,-0.403650167406008,-0.384843952886877,-0.00356892275021248,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"beta0",-1.42601383331857,-1.41424001470626,0.00895361617282116,-1.43190300780475,-1.41432706422668,-1.39703064786467,0.0117738186123069,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"beta1",0.5,0.510970927492061,0.00963679971865112,0.491704301038916,0.510941666260569,0.529857333990109,0.0109709274920609,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"beta2",-0.4,-0.393849327660542,0.00929327137127121,-0.412118944488786,-0.393958933919102,-0.37503624862958,0.00615067233945754,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"beta0",-1.73274692242974,-1.74290439169093,0.0095539069313341,-1.76141649639839,-1.74271217495359,-1.72420151447609,-0.0101574692611914,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"beta1",0.5,0.510538415855454,0.0102550032111438,0.49014366592001,0.510631190184546,0.530813789892401,0.0105384158554542,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"beta2",-0.4,-0.397285708127722,0.0100291892136911,-0.417173711157115,-0.397416795645747,-0.377242844521778,0.00271429187227828,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"beta0",-1.46984395968342,-1.48662713275449,0.00913963244082008,-1.50440282968724,-1.48660732832678,-1.46880201640732,-0.0167831730710664,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"beta1",0.5,0.503021135921038,0.00989510648149356,0.483024954680842,0.502987924038934,0.522617190307225,0.00302113592103792,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"beta2",-0.4,-0.393744876316071,0.00943578928842796,-0.412480848487449,-0.393888556990563,-0.374324801061164,0.00625512368392855,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"beta0",-1.6457324988502,-1.65310471931922,0.00958563579979698,-1.67166227205402,-1.65294992271982,-1.63464138556766,-0.00737222046902319,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"beta1",0.5,0.504848605898734,0.0103854509967744,0.484301224769049,0.504910458801061,0.524774404629436,0.00484860589873404,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"beta2",-0.4,-0.414292039142451,0.010266403298246,-0.434294722097921,-0.414153896574976,-0.393911618478978,-0.0142920391424505,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"beta0",-1.39437501026065,-1.40326872447356,0.00975142069919494,-1.42145533299196,-1.40328765437123,-1.38428199795478,-0.0088937142129133,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"beta1",0.5,0.515731290495528,0.0102600148428562,0.495688513649659,0.51556377530798,0.535808662427674,0.0157312904955279,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"beta2",-0.4,-0.411968978476521,0.0102653566895215,-0.432439698449594,-0.411930947013122,-0.391627812410161,-0.0119689784765212,1,1
