"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_learned_mean","gamma_learned_sd","gamma_bias","gamma_covered","gamma_accept_rate","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","phi_rmse","phi_cor","r_rmse","r_mean_bias","beta0_bias","beta1_bias","beta2_bias","beta0_covered","beta1_covered","beta2_covered","phi_coverage","r_coverage","log_lambda_rmse","log_lambda_coverage_95","cor_log_lambda","cor_delta_log_lambda","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec"
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,100,9,202.09,0,TRUE,TRUE,FALSE,TRUE,0.8,0.826833203443399,0.0431596924547845,0.0268332034433986,1,0.3332,0.787981182766052,1.21979827329653,0.89785723355287,1.12292127770657,0.0173401092705848,0.997268258409521,2.87669759624138,1.30340249353149,-0.00994454848316129,-0.0100294200605754,-0.000167690895824302,1,1,1,1,1,0.0405811974379258,0.98,0.807744361948684,0.252598715894757,0.256175,0.303955555555556,14.5498,298.040999999997
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,100,9,228.074444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.900055972002047,0.0429642031423823,0.100055972002047,0,0.3436,0.832220064060255,1.18981785751518,0.923831092505346,1.07059248512279,0.0199276956571132,0.999000447480511,1.52399389743353,0.156272083369366,0.00959656709544787,-0.0108109589799287,-0.00918117508119803,1,1,1,1,1,0.0481207633232972,0.793333333333333,0.663508899313815,0.0600913665223068,0.237425,0.308255555555556,14.487525,297.547000000006
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,100,9,196.535555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.75092001888363,0.0428260778518481,-0.0490799811163702,1,0.377725,0.715009747783493,1.43439611206275,0.75875045667801,1.39406382286976,0.0161598777349593,0.999156847430357,2.58706692192777,0.734994480423298,0.00329036086249501,0.0108413414945517,0.0148246598161487,1,1,1,1,1,0.0494529341407891,0.97,0.861876547612929,0.257845225591943,0.2446,0.307177777777778,14.4979,298.194000000003
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,100,9,228.855555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.860033899213674,0.0338300169409701,0.0600338992136742,1,0.359475,0.823726855889369,1.22754361720226,0.913127934374499,1.11450547445816,0.0226519162816662,0.997825561194699,2.63097955128301,1.49555679367991,0.00411457963371542,0.00938398309772426,-0.00290934568021117,1,1,1,1,1,0.0369201391863997,0.952222222222222,0.730614045903844,0.163482894589167,0.25605,0.3034,14.5623,297.497000000003
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,100,9,216.956666666667,0,TRUE,TRUE,FALSE,TRUE,0.8,0.77794123532382,0.0332613802348126,-0.0220587646761797,1,0.339575,0.727857750401355,1.33672673594383,0.805024877888471,1.25010745366595,0.023401752659653,0.998820595981323,3.14232687338969,1.4435319600665,0.00756282760250193,0.00836268963574849,-0.00356892275021248,1,1,1,1,0.888888888888889,0.046640368516434,0.952222222222222,0.912070773314328,0.205565603049834,0.244475,0.299288888888889,14.585675,296.986000000004
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,100,9,199.4,0,TRUE,TRUE,FALSE,TRUE,0.8,0.826432461494281,0.0335236674488812,0.0264324614942809,1,0.3498,0.793380694363827,1.25642432410104,0.833887064627001,1.13669440990287,0.0398163677130469,0.993068650318642,2.90726075225596,1.14705770667859,0.0117738186123069,0.0109709274920609,0.00615067233945754,1,1,1,0.666666666666667,1,0.0481790327895729,0.931111111111111,0.74107009373676,0.185353384384962,0.28025,0.304097222222222,14.510825,297.303
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,100,9,173.68,0,TRUE,TRUE,FALSE,TRUE,0.8,0.793523152496112,0.0349982210711486,-0.00647684750388766,1,0.335275,0.70122192451184,1.4494184280606,0.829967011402792,1.19726645212702,0.022645572381716,0.999075596305563,1.53984531147371,-0.25929541122864,-0.0101574692611914,0.0105384158554542,0.00271429187227828,1,1,1,1,1,0.0556002426819763,0.913333333333333,0.846687832642678,0.137885491466215,0.261725,0.311213888888889,14.460325,297.679000000004
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,100,9,232.615555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.811599534655057,0.0395763002887821,0.0115995346550565,1,0.3445,0.827658788216116,1.2087814830121,0.857022008702495,1.10604914225674,0.0179984654783728,0.993192069259112,2.54144740251577,0.387013899654207,-0.0167831730710664,0.00302113592103792,0.00625512368392855,1,1,1,1,0.888888888888889,0.0339977155732947,0.997777777777778,0.780986745076862,0.184422409416152,0.237625,0.311538888888889,14.505,299.659
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,100,9,122.27,0,TRUE,TRUE,FALSE,TRUE,0.8,0.846256491423355,0.0428610249329127,0.0462564914233546,1,0.3343,0.751117483327103,1.42131247907287,0.823411321949691,1.19852697054573,0.0295372077532369,0.996603670724262,1.82405683816742,0.158657888963877,-0.00737222046902319,0.00484860589873404,-0.0142920391424505,1,1,1,1,1,0.0559739657231614,0.903333333333333,0.762533305165105,0.17972027814534,0.2557,0.310066666666667,14.42875,299.207999999999
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,100,9,149.482222222222,0,TRUE,TRUE,FALSE,TRUE,0.8,0.832147507733812,0.0383201918451375,0.0321475077338119,1,0.325875,0.748164498973869,1.32456430666866,0.838226733754587,1.25126351140177,0.0316784562248887,0.995852881126712,3.3678109587126,-0.273072279002501,-0.0088937142129133,0.0157312904955279,-0.0119689784765212,1,1,1,1,0.777777777777778,0.0464703887032012,0.946666666666667,0.790936556332532,0.216844106820106,0.256675,0.302944444444444,14.42955,297.584000000003
