"scenario","rep","parameter","truth","post_mean","bias","rmse_component","q025","q975","cover"
"S1","rep15","beta1",0.5,0.499050786502071,-0.000949213497928592,9.01006264649832e-07,0.480700939251236,0.517712158005321,1
"S1","rep15","beta2",-0.4,-0.410945460133402,-0.0109454601334023,0.000119803097531898,-0.428309447141537,-0.39243650753618,1
"S1","rep15","r_mean",15,15.8176204606469,0.81762046064687,0.6685032176684,14.241612282339,17.4551437391838,1
"S1","rep15","phi_vector",NA,NA,-2.31296463463574e-17,0.000547601727634462,NA,NA,1
"S1","rep16","beta0",-1.5,-1.52124431769061,-0.0212443176906074,0.000451321034139455,-1.54024799579043,-1.50100837109014,0
"S1","rep16","beta1",0.5,0.505245316051781,0.00524531605178125,2.7513340483074e-05,0.485642483367557,0.524578837264275,1
"S1","rep16","beta2",-0.4,-0.401636509055349,-0.00163650905534912,2.67816188823968e-06,-0.420849210261281,-0.382975378895486,1
"S1","rep16","r_mean",15,13.9416405078382,-1.05835949216176,1.12012481464891,12.5147745951252,15.4733962252672,1
"S1","rep16","phi_vector",NA,NA,7.15091566208217e-17,0.000642473210234259,NA,NA,1
"S1","rep17","beta0",-1.5,-1.51762048090393,-0.0176204809039282,0.000310481347285699,-1.53510242600351,-1.5004902726332,0
"S1","rep17","beta1",0.5,0.487009682089706,-0.0129903179102938,0.0001687483594105,0.469326333139546,0.504515168780814,1
"S1","rep17","beta2",-0.4,-0.383613324118627,0.0163866758813727,0.000268523146441162,-0.40119836085832,-0.366024712172586,1
"S1","rep17","r_mean",15,15.3766459534457,0.376645953445735,0.141862174247047,13.879856938104,17.0120979728132,1
"S1","rep17","phi_vector",NA,NA,1.15648231731787e-16,0.00102935718690334,NA,NA,0.888888888888889
"S1","rep18","beta0",-1.5,-1.49372704525394,0.00627295474606071,3.93499612461256e-05,-1.51188869295518,-1.47538907309974,1
"S1","rep18","beta1",0.5,0.514682563522805,0.0146825635228054,0.000215577671601215,0.496352675199059,0.533198043553599,1
"S1","rep18","beta2",-0.4,-0.410671008991505,-0.0106710089915047,0.000113870432896775,-0.429021496447964,-0.39167453179519,1
"S1","rep18","r_mean",15,14.5929611372317,-0.407038862768326,0.165680635803732,13.179509278989,16.1462063692326,1
"S1","rep18","phi_vector",NA,NA,-6.59194920871187e-17,0.00135229782180491,NA,NA,0.888888888888889
"S1","rep19","beta0",-1.5,-1.49810479579092,0.00189520420908362,3.59179899412828e-06,-1.5171766802333,-1.47895770813173,1
"S1","rep19","beta1",0.5,0.503764811631848,0.00376481163184772,1.41738066232959e-05,0.483845057091655,0.524014691329863,1
"S1","rep19","beta2",-0.4,-0.417219026492952,-0.0172190264929518,0.000296494873364977,-0.436829531930466,-0.397263804494887,1
"S1","rep19","r_mean",15,13.762152944232,-1.23784705576797,1.53226533347343,12.3547673647947,15.3099859855074,1
"S1","rep19","phi_vector",NA,NA,-1.63190496995276e-16,0.00120882467166339,NA,NA,0.777777777777778
"S1","rep20","beta0",-1.5,-1.48913869300796,0.0108613069920365,0.00011796798957526,-1.50764544145341,-1.46987252537261,1
"S1","rep20","beta1",0.5,0.490487827557716,-0.00951217244228403,9.04814245717477e-05,0.471833779466497,0.51029785617093,1
"S1","rep20","beta2",-0.4,-0.396635904830697,0.00336409516930269,1.13171363081257e-05,-0.41539491130054,-0.377868533036873,1
"S1","rep20","r_mean",15,15.511877222896,0.511877222895988,0.262018291319709,13.8459724043426,17.3171228068866,1
"S1","rep20","phi_vector",NA,NA,1.11022302462516e-16,0.000622568156651903,NA,NA,1
"S2","rep01","beta0",-1.55101809603453,-1.55384687270306,-0.0028287766685311,8.00197744042589e-06,-1.57245304856149,-1.53487433701906,1
"S2","rep01","beta1",0.5,0.487941597115367,-0.012058402884633,0.000145405080128125,0.467835679377535,0.509147985756211,1
"S2","rep01","beta2",-0.4,-0.397357794187495,0.00264220581250552,6.98125155563793e-06,-0.416679277005968,-0.378275253166338,1
"S2","rep01","r_mean",15,15.3312376538205,0.331237653820521,0.109718383308523,13.728608129297,17.0925255121563,1
"S2","rep01","phi_vector",NA,NA,-1.57474342208117e-16,0.000671833999790176,NA,NA,0.888888888888889
"S2","rep01","log_lambda_vector",NA,NA,3.26523144942057e-17,0.00328384633033122,NA,NA,0.907777777777778
"S2","rep01","log_kappa_vector",NA,NA,0.00403380812945303,0.012767162658755,NA,NA,0.926666666666667
"S2","rep02","beta0",-1.52214568450129,-1.5246433927779,-0.00249770827661644,6.23854663507826e-06,-1.54232687787978,-1.50699859997821,1
"S2","rep02","beta1",0.5,0.488004428970955,-0.0119955710290454,0.000143893724312872,0.469251027919089,0.507095668531483,1
"S2","rep02","beta2",-0.4,-0.415172921956613,-0.0151729219566132,0.000230217560701476,-0.433570066123615,-0.396876938733009,1
"S2","rep02","r_mean",15,16.6352872117709,1.63528721177094,2.67416426498159,14.8347445666412,18.4622631921468,1
