"scenario","rep","n_ppc_draws","observed_mean","yrep_mean","yrep_mean_diff","observed_zero_prop","yrep_zero_prop","yrep_zero_diff","observed_total","yrep_total","yrep_total_ratio","observed_max","yrep_max","ppc_cell_95_coverage","ppp_mean","ppp_zero","ppp_total","ppp_max","has_kappa_samples","drawwise_cor_logkappa_eta_mean","drawwise_abs_cor_logkappa_eta_mean","drawwise_slope_logkappa_eta_mean","postmean_cor_logkappa_eta","mu_cap","mu_cap_count","invalid_mu_count"
"S2","rep12",1000,228.074444444444,227.638663333333,-0.435781111111112,0,0,0,205267,204874.797,0.998089303200222,2292,2120.249,0.964444444444444,0.886,0,0.886,0.598,TRUE,-0.00935962707094761,0.027521775749558,-0.00325518470383415,-0.00623505864230237,1e+08,0,0
"S2","rep13",1000,196.535555555556,196.19553,-0.34002555555557,0,1.1111111111111e-06,1.1111111111111e-06,176882,176575.977,0.998269903099241,3134,2848.603,0.963333333333333,0.912,0,0.912,0.626,TRUE,-0.00183061010936679,0.027341586550577,-0.000508637874471563,0.00202567351259607,1e+08,0,0
"S2","rep14",1000,228.855555555556,229.241761111111,0.386205555555563,0,3.33333333333333e-06,3.33333333333333e-06,205970,206317.585,1.00168755158518,2862,2179.288,0.958888888888889,0.922,0,0.922,0.102,TRUE,0.018069947242349,0.0303591379899867,0.00657449444427828,0.0236641013780505,1e+08,0,0
"S2","rep15",1000,216.956666666667,216.890305555556,-0.0663611111111209,0,0,0,195261,195201.275,0.999694127347499,1161,1395.318,0.956666666666667,0.998,0,0.998,0.256,TRUE,0.00858363870549268,0.0275159429687988,0.00289829252811793,0.012676154672445,1e+08,0,0
"S2","rep16",1000,199.4,198.407633333333,-0.992366666666669,0,0,0,179460,178566.87,0.995023236375794,1821,1766.737,0.958888888888889,0.714,0,0.714,0.754,TRUE,0.00717911870216554,0.0274997324213661,0.0028672238876332,0.0119460692155974,1e+08,0,0
"S2","rep17",1000,173.68,173.40008,-0.279920000000004,0,0,0,156312,156060.072,0.998388300322432,2092,1948.185,0.961111111111111,0.922,0,0.922,0.636,TRUE,0.00245378639235729,0.026908169103563,0.000963208633791228,0.00624722366463332,1e+08,0,0
"S2","rep18",1000,232.615555555556,233.338183333333,0.722627777777774,0,0,0,209354,210004.365,1.00310653247609,1671,1739.941,0.958888888888889,0.856,0,0.856,0.984,TRUE,-0.00196677711918105,0.0278716064005384,-0.000576898658193842,0.00215687162508639,1e+08,0,0
"S2","rep19",1000,122.27,123.124728888889,0.8547288888889,0,0,0,110043,110812.256,1.00699050371219,725,1060.822,0.965555555555556,0.682,0,0.682,0.014,TRUE,-3.04859642558999e-05,0.0259476185962313,0.000126913872099155,0.00376791414324527,1e+08,0,0
"S2","rep20",1000,149.482222222222,149.676326666667,0.194104444444434,0,2.22222222222221e-06,2.22222222222221e-06,134534,134708.694,1.00129851190034,1309,1291.85,0.966666666666667,0.914,0,0.914,0.808,TRUE,-0.0016634678005392,0.0261359750296675,-0.00043598106781082,0.00244580646607357,1e+08,0,0
"S3","rep01",1000,164.013333333333,165.11548,1.10214666666667,0,0,0,147612,148603.932,1.00671986017397,944,1103.908,0.972222222222222,0.69,0,0.69,0.274,TRUE,0.00469174392759211,0.0273443616375392,0.00191754561693295,0.00933638755491378,1e+08,0,0
