"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
33,-7.77359162180453,0.562589993752031,-0.389750873904904,4.44877106596663e-10,1.03819699518266,1080525.18183603,2.14448443570782e-16,0.0374855370696167,0,0,0,-7.77359162180453,-7.73610608473491,-7.77359162180453,1.03819699518266,1080525.18183602,1.03337477463938e-16
34,-7.49259804024129,0.536511060816864,-0.37569110336904,2.47105945818578e-10,1.05253583223472,86894.2383098919,6.09389082405364e-17,0.0512013267621577,0,0,0,-7.49259804024129,-7.44139671347913,-7.49259804024129,1.05253583223472,86894.2383098917,1.25223905319179e-16
35,-7.62723159845534,0.50463795155032,-0.39733829072693,1.43089954795438e-10,1.03423091786034,332990.626301614,-1.3359683729656e-16,0.0336580167864063,0,0,0,-7.62723159845534,-7.59357358166894,-7.62723159845534,1.03423091786034,332990.626301615,1.13952057666388e-16
36,-7.75987428349274,0.558084549303345,-0.433708572851617,8.15297389099974e-11,1.04092242847919,36684.1450206356,2.27318164292001e-16,0.0401070688203663,0.0222222222222222,0,0,-7.75987428349274,-7.71976721467238,-7.75987428349274,1.04092242847919,36684.1450206356,7.34289172675694e-17
37,-7.72471702336773,0.570556697322968,-0.432999850211353,3.14125118707903e-11,1.04520884830374,113177.328100316,1.0462310030669e-16,0.0442165610195393,0.0222222222222222,0,0,-7.72471702336773,-7.68050046234819,-7.72471702336773,1.04520884830374,113177.328100316,1.46379821843981e-16
38,-7.98450973341315,0.553282077054977,-0.43384505942665,1.89057721357628e-11,1.03053009281911,2757785.2420182,-2.55968086233022e-17,0.0300731482594489,0.0255555555555556,0,0,-7.98450973341315,-7.9544365851537,-7.98450973341315,1.03053009281911,2757785.2420182,7.12894249805313e-17
39,-7.97299901499221,0.555359530264103,-0.445657924959384,7.83185067123809e-11,1.03316816827965,124149.793364217,2.64603154202329e-16,0.0326299666459581,0.0211111111111111,0,0,-7.97299901499221,-7.94036904834625,-7.97299901499221,1.03316816827965,124149.793364217,4.09487258915912e-16
40,-7.67380708233596,0.516785696926476,-0.411427943323421,2.09825999801462e-12,1.01748794645301,162620.876970801,1.78684227907727e-16,0.0173367292015895,0.0177777777777778,0,0,-7.67380708233596,-7.65647035313437,-7.67380708233596,1.01748794645302,162620.876970801,1.16635096642565e-16
41,-7.99102996880966,0.482320630690186,-0.414006711799408,8.61563965263286e-11,1.02588599547943,240991.86775035,-4.30211422042248e-17,0.0255560734208687,0.0233333333333333,0,0,-7.99102996880966,-7.96547389538879,-7.99102996880966,1.02588599547943,240991.86775035,6.14824549296758e-17
42,-7.59298921086947,0.472092016167893,-0.399712569034065,9.91705222206795e-11,1.01579109232353,79265.8901607441,-7.63432527072104e-17,0.0156676922170617,0.0211111111111111,0,0,-7.59298921086947,-7.57732151865241,-7.59298921086947,1.01579109232353,79265.8901607441,1.95229634927488e-16
