"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
66,-7.98777105004486,0.4464752437581,-0.320829003618397,6.97232057176258e-10,1.01374453554204,2592416.12711953,5.23809390923841e-16,0.0136508417040612,0,0,0,-7.98777105004486,-7.9741202083408,-7.98777105004486,1.01374453554204,2592416.12711952,1.04908365944962e-16
67,-7.90858081233948,0.442571869502866,-0.378389414233371,2.09350118413249e-10,1.04194384788272,173572.813931701,-2.43940670132916e-16,0.0410880504949483,0,0,0,-7.90858081233948,-7.86749276184454,-7.90858081233948,1.04194384788272,173572.813931701,1.84204503502391e-16
68,-7.66449104686816,0.505819208409616,-0.404543444627945,7.11476655436419e-11,1.01334240617567,274112.646993498,-1.76340423744629e-16,0.0132541352102761,0.0244444444444444,0,0,-7.66449104686816,-7.65123691165789,-7.66449104686816,1.01334240617567,274112.646993498,8.91262372546306e-17
69,-8.01976331392511,0.513055169839648,-0.403343377943621,1.61202817186576e-09,1.03414304359282,207876.736026335,-1.36249036744276e-16,0.0335729048330134,0,0,0,-8.01976331392511,-7.9861904090921,-8.01976331392511,1.03414304359282,207876.736026335,7.65822590527894e-17
70,-7.74172532680094,0.548953947082948,-0.386327384834928,2.15629103684296e-10,1.0438649520271,162768.745572794,-2.03540887847945e-18,0.0429301113583778,0,0,0,-7.74172532680094,-7.69879521544257,-7.74172532680094,1.0438649520271,162768.745572794,2.91216703529606e-17
71,-7.86139589740343,0.577217684213169,-0.44967548573965,3.71062649790013e-11,1.03467291263957,697017.156444758,6.70513027816671e-16,0.0340853495831039,0.0255555555555556,0,0,-7.86139589740343,-7.82731054782033,-7.86139589740343,1.03467291263957,697017.156444754,2.38111999253634e-16
72,-7.39429321813425,0.533478656552184,-0.33223534098188,9.5639749961364e-12,1.02656671883981,2885.36780021345,-1.06951484705557e-16,0.0262199510298237,0.0144444444444444,0,0,-7.39429321813425,-7.36807326710443,-7.39429321813425,1.02656671883981,2885.36780021346,1.0108040947464e-16
73,-7.9507652425724,0.490318411188746,-0.389558791266865,5.18704123229507e-11,1.06800828908087,916450.708228784,1.94289029309402e-17,0.0657953424650903,0.0255555555555556,0,0,-7.9507652425724,-7.88496990010731,-7.9507652425724,1.06800828908087,916450.708228784,5.9211894646675e-17
74,-7.41161271032435,0.495670920521735,-0.348888500000204,2.83357778534711e-11,1.04354474631719,39558.3037150561,1.31684786531928e-16,0.0426233260277076,0.0144444444444444,0,0,-7.41161271032435,-7.36898938429664,-7.41161271032435,1.04354474631719,39558.303715056,5.39768846902828e-17
75,-7.84684696066125,0.515075603286694,-0.357730878201859,4.335312706096e-10,1.01541647202999,296986.342730466,2.87547763377916e-16,0.0152987994114282,0,0,0,-7.84684696066125,-7.83154816124982,-7.84684696066125,1.01541647202999,296986.342730465,2.15629983004975e-16
76,-7.77009195983844,0.519439433297786,-0.379905946583876,8.24996633080719e-11,1.0380424011559,260546.737548682,3.34053772298325e-16,0.0373361801739727,0.0155555555555556,0,0,-7.77009195983844,-7.73275577966447,-7.77009195983844,1.0380424011559,260546.737548681,1.35218321878967e-16
77,-7.58468323430921,0.535210314510676,-0.376698078463663,1.16006349056676e-10,1.04772129952182,144563.587460348,-3.42164568283781e-17,0.0466176035318592,0,0,0,-7.58468323430921,-7.53806563077736,-7.58468323430921,1.04772129952182,144563.587460348,9.94651891714524e-17
78,-7.61688704598092,0.491546631604895,-0.392319756153278,3.78261030353369e-11,1.0685568151181,103043.754517625,3.41501518421852e-16,0.0663089602574869,0.0255555555555556,0,0,-7.61688704598092,-7.55057808572343,-7.61688704598092,1.0685568151181,103043.754517624,8.15088737245636e-17
79,-7.56036167943963,0.489533790082499,-0.406222455412702,1.20131461774433e-11,1.00511030281519,7659.89921793438,1.61514320436614e-16,0.0050972849924362,0.00888888888888889,0,0,-7.56036167943963,-7.5552643944472,-7.56036167943963,1.00511030281519,7659.89921793437,1.18462338703927e-16
80,-7.73087130936289,0.489881862957642,-0.35316800018471,8.79447583660379e-11,1.03858549128378,466746.526520104,4.03072636995855e-17,0.0378596589112522,0.0277777777777778,0,0,-7.73087130936289,-7.69301165045163,-7.73087130936289,1.03858549128378,466746.526520104,7.06610695881219e-17
81,-7.79927500851176,0.51168105257974,-0.397151087777,3.33666625586546e-10,1.05554080992508,300418.117906608,4.71844785465692e-17,0.0540532129038012,0,0,0,-7.79927500851176,-7.74522179560796,-7.79927500851176,1.05554080992508,300418.117906608,1.05340119343427e-16
82,-7.54271938470682,0.617803093542725,-0.447255053781643,8.46873606263601e-10,1.02789119510594,310068.352885078,-3.45711114056889e-16,0.0275092713076386,0,0,0,-7.54271938470682,-7.51521011339918,-7.54271938470682,1.02789119510594,310068.352885079,6.75586130248639e-16
83,-7.73181742446198,0.55633553330566,-0.415987480028183,1.16805803009987e-10,1.03797273319851,59467.0336582445,6.04701474079169e-16,0.0372694523790144,0,0,0,-7.73181742446198,-7.69454797208297,-7.73181742446198,1.03797273319851,59467.0336582442,2.12638548744179e-16
84,-7.45121156742109,0.535577779078227,-0.389806561181111,2.89721578348357e-12,1.02052017444445,1407.26937415358,3.63505521979353e-16,0.0203123874808553,0.00777777777777778,0,0,-7.45121156742109,-7.43089917994024,-7.45121156742109,1.02052017444445,1407.26937415358,4.49139182635684e-17
