"scenario_id","rep_id","exposure_group","n_areas","mean_multiplier","mean_count","zero_prop","lambda_rmse","log_lambda_rmse","cor_log_lambda","phi_rmse","phi_mae","phi_cor","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",7,"middle_exposure",3,0.0420351065397242,8.41666666666667,0.01,0.0833758564377636,0.081985318977997,0.618308273103079,7.69110513803539,6.40915726909044,0.924911200125495,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",8,"middle_exposure",3,0.0465435814207548,2.90666666666667,0.286666666666667,0.251992024713889,0.249303629942842,0.420267526290048,1.13306955787765,1.13222827910305,0.998752648415303,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",9,"middle_exposure",3,0.0334914932285527,16.4166666666667,0.02,0.0853745596594834,0.0795699800957546,0.720522693359927,0.421325376582937,0.40221722968463,0.449222598704401,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",10,"middle_exposure",3,0.0414494189226492,7.95,0.0333333333333333,0.0803615419764591,0.0786155028749235,0.435893646762524,0.993688249085289,0.988016909078001,0.0743952655526498,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",1,"high_exposure",3,0.0735175391679131,18.6533333333333,0,0.0767755980449099,0.0766223601274456,0.704609351175887,0.398575537011269,0.395033912464,0.794340514540618,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",2,"high_exposure",3,0.077147793862011,20.9633333333333,0.00333333333333333,0.0774588500807982,0.0764878930928147,0.67111567535614,0.443372032656907,0.44319995559733,0.998600950329717,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",3,"high_exposure",3,0.116126406209181,18.4066666666667,0.05,0.125335236976249,0.123832357986288,0.317349429567886,3.14477977654667,2.98719406207437,0.0272800437872269,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",4,"high_exposure",3,0.0827965278366683,10.12,0.303333333333333,1182.61431263572,3.79443254182595,0.266023756993813,102940.58761541,73156.5267653044,0.999837621934142,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",5,"high_exposure",3,0.0994721471875628,35.9066666666667,0,0.0396848616323901,0.0398247887143703,0.73048315766723,1.83719768623813,1.8036963454465,-0.00827531632954968,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",6,"high_exposure",3,0.0854320790325729,18.7466666666667,0,0.0782183725242824,0.0788480334336868,0.755669013241884,0.814550593772902,0.81446896097539,0.99900994060275,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",7,"high_exposure",3,0.0831638078672626,7.73666666666667,0.286666666666667,2.40077309647793e+25,96.752294723903,0.441774496153225,22.8732749730878,13.5090182305311,0.999989945605256,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",8,"high_exposure",3,0.09139525384849,17.8433333333333,0.00333333333333333,0.0758757968770039,0.0753777587993799,0.647284283226109,1.83150615337625,1.75498739967668,0.946214534912168,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",9,"high_exposure",3,0.0916175477232055,8.32,0.0166666666666667,0.0987152286922723,0.09979582855831,0.621788540963848,0.304221672355644,0.303121029975412,0.998195180787147,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",10,"high_exposure",3,0.0874654069424259,19.77,0.00333333333333333,0.0835906880678715,0.0801400005261553,0.661857996285908,0.874050662317453,0.870244121766285,-0.177930867560857,"stable",TRUE,TRUE
