"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max"
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,100,9,202.09,0,TRUE,TRUE,FALSE,TRUE,0.8,0.826833203443399,0.0431596924547845,0.736476503365777,0.831292404540588,0.899798391645434,0.0268332034433986,1,0.3332,0.0943783572089613,0.787981182766052,1.21979827329653,-1.46082883975833,-1.4707733882415,0.00885986650748627,-1.4882156596705,-1.47080502194064,-1.45336565489248,-0.00994454848316129,1,0.5,0.489970579939425,0.00993413791149145,0.470186716935809,0.48985016047638,0.509505655646403,-0.0100294200605754,1,-0.4,-0.400167690895824,0.0094709808237757,-0.418379709739009,-0.400014887524952,-0.381447362144072,-0.000167690895824302,1,0.0173401092705848,0.997268258409521,-1.28369537222284e-16,15,16.3034024935315,1.30340249353149,11.6628921586778,16.1170257945906,22.0122237020839,5.58761727363162,-3516.61275759668,-4575.5868073121,0.256175,0.303955555555556,14.5498,298.040999999997,0.040716911611542,0.0318048237388865,0.98,0.0405811974379258,0.0317017398009945,0.98,0.807131623507229,0.807744361948684,0.01898447339418,0.0143703427465101,0.252598715894757,0.787981182766052,1.21979827329653,0.89785723355287,1.12292127770657
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,100,9,228.074444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.900055972002047,0.0429642031423823,0.804958729178363,0.897837964477403,0.979199047743683,0.100055972002047,0,0.3436,0.0893179918096902,0.832220064060255,1.18981785751518,-1.54000554509491,-1.53040897799946,0.00916896592842203,-1.54775474457307,-1.53032592648733,-1.51257489040716,0.00959656709544787,1,0.5,0.489189041020071,0.00994656629177126,0.469810579271996,0.489034485255214,0.508742115430557,-0.0108109589799287,1,-0.4,-0.409181175081198,0.00944634750417347,-0.427956565885247,-0.409052584827239,-0.391027134273981,-0.00918117508119803,1,0.0199276956571132,0.999000447480511,1.40223480974792e-16,15,15.1562720833694,0.156272083369366,10.9582184112462,15.0178221073377,20.2261808749309,1.7821194013474,-3569.96154539907,-4702.08280656858,0.237425,0.308255555555556,14.487525,297.547000000006,0.0483757917429396,0.0376652932059758,0.793333333333333,0.0481207633232972,0.0375558596737585,0.793333333333333,0.657490285214553,0.663508899313815,0.01809830491081,0.0138495412205682,0.0600913665223069,0.832220064060255,1.18981785751518,0.923831092505346,1.07059248512279
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,100,9,196.535555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.75092001888363,0.0428260778518481,0.66780589081209,0.749896561277144,0.83604562436048,-0.0490799811163702,1,0.377725,0.070564281130473,0.715009747783493,1.43439611206275,-1.45678056652174,-1.45349020565924,0.00943036245874619,-1.47181822000593,-1.45344767882399,-1.43506879853988,0.00329036086249501,1,0.5,0.510841341494552,0.0108190516937069,0.489491617172932,0.510890956071437,0.531808107696284,0.0108413414945517,1,-0.4,-0.385175340183851,0.0100536926156507,-0.405311461407112,-0.384943851900542,-0.366101394521486,0.0148246598161487,1,0.0161598777349593,0.999156847430357,1.22972619741467e-16,15,15.7349944804233,0.734994480423298,11.1487676819513,15.5396028088253,21.339616163779,2.0436225299241,-3471.47189932617,-4509.51485463192,0.2446,0.307177777777778,14.4979,298.194000000003,0.0491739347821083,0.0368269760078397,0.97,0.0494529341407891,0.0369127565258685,0.97,0.870917225346211,0.861876547612929,0.0211337593704037,0.0157028678440927,0.257845225591943,0.715009747783493,1.43439611206275,0.75875045667801,1.39406382286976
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,100,9,228.855555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.860033899213674,0.0338300169409701,0.797812422709824,0.859800993935578,0.927221206415436,0.0600338992136742,1,0.359475,0.0776207092435202,0.823726855889369,1.22754361720226,-1.59786012831472,-1.593745548681,0.00911648948129488,-1.61161390125642,-1.59386085716276,-1.57543478625114,0.00411457963371542,1,0.5,0.509383983097724,0.00930049794396143,0.491480939959549,0.509529747777005,0.527142427263369,0.00938398309772426,1,-0.4,-0.402909345680211,0.00906129283150468,-0.420313971321938,-0.40286299121593,-0.385118539298686,-0.00290934568021117,1,0.0226519162816662,0.997825561194699,2.2474306366544e-16,15,16.4955567936799,1.49555679367991,11.7454310163668,16.3001054651321,22.3205276071398,2.3257946093269,-3548.82033197706,-4629.57580793097,0.25605,0.3034,14.5623,297.497000000003,0.0368651531613453,0.0281874819141764,0.952222222222222,0.0369201391863997,0.0282307546688396,0.952222222222222,0.729749657782641,0.730614045903844,0.0182731785375023,0.0137416404084874,0.163482894589167,0.823726855889369,1.22754361720226,0.913127934374499,1.11450547445816
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,100,9,216.956666666667,0,TRUE,TRUE,FALSE,TRUE,0.8,0.77794123532382,0.0332613802348126,0.712046635936064,0.777135856719507,0.847616655224809,-0.0220587646761797,1,0.339575,0.0902201937471618,0.727857750401355,1.33672673594383,-1.47860563894211,-1.47104281133961,0.0090027177283164,-1.48892450806128,-1.47101212791024,-1.45338034772323,0.00756282760250193,1,0.5,0.508362689635748,0.00978259138266337,0.488960150401958,0.508495774587287,0.526973755207011,0.00836268963574849,1,-0.4,-0.403568922750212,0.00947390366468362,-0.421875332637361,-0.403650167406008,-0.384919160054134,-0.00356892275021248,1,0.023401752659653,0.998820595981323,2.31296463463574e-18,15,16.4435319600665,1.44353196006649,11.6971874991919,16.2378729173473,22.3086520614006,1.01257460715627,-3562.88646757433,-4657.91957241025,0.244475,0.299288888888889,14.585675,296.986000000004,0.0469224803161982,0.0377532117501315,0.952222222222222,0.046640368516434,0.0377544955204119,0.952222222222222,0.909890218974823,0.912070773314328,0.0183225167312683,0.0134501973157755,0.205565603049834,0.727857750401355,1.33672673594383,0.805024877888471,1.25010745366595
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,100,9,199.4,0,TRUE,TRUE,FALSE,TRUE,0.8,0.826432461494281,0.0335236674488812,0.760782388370575,0.827019325811166,0.887373020034274,0.0264324614942809,1,0.3498,0.0828468262141063,0.793380694363827,1.25642432410104,-1.42601383331857,-1.41424001470626,0.00895361617282116,-1.431868701826,-1.41432706422668,-1.39704898039296,0.0117738186123069,1,0.5,0.510970927492061,0.00963679971865112,0.491708581440109,0.510941666260569,0.529819234145041,0.0109709274920609,1,-0.4,-0.393849327660542,0.00929327137127121,-0.412105391750233,-0.393958933919102,-0.375056010289368,0.00615067233945754,1,0.0398163677130469,0.993068650318642,-2.32838439886665e-16,15,16.1470577066786,1.14705770667859,11.3438547364542,15.9628698763112,22.0131271386186,2.2264317441333,-3507.37170937528,-4561.53669089593,0.28025,0.304097222222222,14.510825,297.303,0.0488763429066258,0.0377387577856071,0.931111111111111,0.0481790327895729,0.0375177925472547,0.931111111111111,0.737495739873645,0.74107009373676,0.0196961597040431,0.0150678239276229,0.185353384384962,0.793380694363827,1.25642432410104,0.833887064627001,1.13669440990287
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,100,9,173.68,0,TRUE,TRUE,FALSE,TRUE,0.8,0.793523152496112,0.0349982210711486,0.720938272756086,0.793848117606349,0.861777256939838,-0.00647684750388766,1,0.335275,0.0929818476028129,0.70122192451184,1.4494184280606,-1.73274692242974,-1.74290439169093,0.0095539069313341,-1.7614031507686,-1.74271217495359,-1.72423094579005,-0.0101574692611914,1,0.5,0.510538415855454,0.0102550032111438,0.490156446631634,0.510631190184546,0.530772092067312,0.0105384158554542,1,-0.4,-0.397285708127722,0.0100291892136911,-0.417134321750744,-0.397416795645747,-0.377291525629769,0.00271429187227828,1,0.022645572381716,0.999075596305563,3.62822233676871e-16,15,14.7407045887714,-0.25929541122864,10.5211202638739,14.5894370546658,19.9143105621582,1.3265420882955,-3461.60473484832,-4508.333698814,0.261725,0.311213888888889,14.460325,297.679000000004,0.0558075178630416,0.0438249583582061,0.913333333333333,0.0556002426819763,0.0439560097571773,0.913333333333333,0.849134083396731,0.846687832642678,0.0214963180677093,0.0157609075098137,0.137885491466215,0.70122192451184,1.4494184280606,0.829967011402792,1.19726645212702
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,100,9,232.615555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.811599534655057,0.0395763002887821,0.73192332009895,0.812471313774707,0.890947797094585,0.0115995346550565,1,0.3445,0.0893179918096902,0.827658788216116,1.2087814830121,-1.46984395968342,-1.48662713275449,0.00913963244082008,-1.50438301863019,-1.48660732832678,-1.46886512652766,-0.0167831730710664,1,0.5,0.503021135921038,0.00989510648149356,0.483081539537617,0.502987924038934,0.52259638391361,0.00302113592103792,1,-0.4,-0.393744876316071,0.00943578928842796,-0.412354265786561,-0.393888556990563,-0.374359298386371,0.00625512368392855,1,0.0179984654783728,0.993192069259113,1.13335267097151e-16,15,15.3870138996542,0.387013899654207,11.0976158378382,15.2099769943569,20.545821983383,9.34942366370622,-3609.51947827398,-4774.30093728615,0.237625,0.311538888888889,14.505,299.659,0.0340069780487986,0.0269869535775777,0.997777777777778,0.0339977155732947,0.0269996021791002,0.997777777777778,0.778197859685989,0.780986745076861,0.017661128642577,0.0131118831145393,0.184422409416152,0.827658788216116,1.2087814830121,0.857022008702495,1.10604914225674
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,100,9,122.27,0,TRUE,TRUE,FALSE,TRUE,0.8,0.846256491423355,0.0428610249329127,0.7639200369892,0.849848754837038,0.924282480363153,0.0462564914233546,1,0.3343,0.091131508835517,0.751117483327103,1.42131247907287,-1.6457324988502,-1.65310471931922,0.00958563579979698,-1.6716361592683,-1.65294992271982,-1.63468411040631,-0.00737222046902319,1,0.5,0.504848605898734,0.0103854509967744,0.484349230003535,0.504910458801061,0.524743003452994,0.00484860589873404,1,-0.4,-0.414292039142451,0.010266403298246,-0.434244490494744,-0.414153896574976,-0.393912082989844,-0.0142920391424505,1,0.0295372077532369,0.996603670724263,1.27791296063625e-16,15,15.1586578889639,0.158657888963877,10.6050423679911,14.9655774294464,20.7475397498206,2.17486281770416,-3308.73867892787,-4215.32837645933,0.2557,0.310066666666667,14.42875,299.207999999999,0.0579114922766912,0.0436709419882793,0.903333333333333,0.0559739657231614,0.0431641091482687,0.903333333333333,0.76792713378714,0.762533305165105,0.02288355460887,0.0177169832181629,0.17972027814534,0.751117483327103,1.42131247907287,0.823411321949691,1.19852697054573
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,100,9,149.482222222222,0,TRUE,TRUE,FALSE,TRUE,0.8,0.832147507733812,0.0383201918451375,0.751858795158632,0.832725075546978,0.90320233688892,0.0321475077338119,1,0.325875,0.0982497909906592,0.748164498973869,1.32456430666866,-1.39437501026065,-1.40326872447356,0.00975142069919494,-1.42143155760407,-1.40328765437123,-1.38429142428372,-0.0088937142129133,1,0.5,0.515731290495528,0.0102600148428562,0.495726818491063,0.51556377530798,0.535787771974466,0.0157312904955279,1,-0.4,-0.411968978476521,0.0102653566895215,-0.432393897057583,-0.411930947013122,-0.391659235332529,-0.0119689784765212,1,0.0316784562248887,0.995852881126712,4.31753398465339e-17,15,14.7269277209975,-0.273072279002502,10.3741481195997,14.5109446330443,20.1630017326911,3.07651737917495,-3380.01192659248,-4365.32956893098,0.256675,0.302944444444444,14.42955,297.584000000003,0.0467514697432962,0.0372115473555296,0.946666666666667,0.0464703887032012,0.0371302652147455,0.946666666666667,0.792736225041375,0.790936556332532,0.023424666141314,0.0176515256798311,0.216844106820106,0.748164498973869,1.32456430666866,0.838226733754587,1.25126351140177
