"scenario","rep","sampler","baseline_analysis_status","fit_file","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","rhat","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_bias","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_cor_sd","logkappa_eta_slope_mean"
"S4A","rep03","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep03_full_fit.rds",-0.055835160835394,-0.0566325253599619,0.037921058601435,0.062222768795356,0.0633604573658012,0.0472064869331413,0,0,1,4.48939236444407,1.28678364051403,1.03082638516325,NA,-0.055835160835394,0.11757142232931,0.863333333333333,-1.97295883334429e-17,0.179534956423024,0.995555555555556,0.0190983333333333,1.82472607312562,0.985555555555556,0.994444444444444,0.175555555555556,0.192199444444444,0.00117714375108143,0.0298747215188632,0.0377311247157921,0.00108478521908607
"S4A","rep04","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep04_full_fit.rds",-0.134961765904203,-0.0270960298028594,0.0514891138100998,0.153057457102139,0.0441872527566347,0.060657184320524,0,1,1,4.5856790331396,1.42929650345191,1.5553056223323,NA,-0.134961765904203,0.346531015020375,0.863333333333333,-1.69740764653802e-16,0.599858513371953,0.994444444444444,0.0101833333333333,1.37452988771515,0.984444444444444,0.998888888888889,0.312222222222222,0.324203888888889,0.0517250487331565,0.0721307621771611,0.0977605800856112,0.0192702587145166
"S4A","rep05","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep05_full_fit.rds",-0.00397351561650172,0.024216411485791,0.0254537974364093,0.0272109623045414,0.0374183168087186,0.034262621004694,1,1,1,4.24918782373949,1.20940840090623,1.74986823578861,NA,-0.00397351561650124,0.0623185049084652,0.993333333333333,2.13409536955725e-17,0.169565991341885,0.992222222222222,0.0118255555555556,2.421597830405,0.982222222222222,0.993333333333333,0.173333333333333,0.187962222222222,0.0293831579286665,0.0417611144064055,0.0441944825081278,0.0109438171841921
"S4A","rep06","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep06_full_fit.rds",-0.118857443444969,-0.0166384013290822,0.0181040606047559,0.124173718247315,0.0332094056439061,0.0333430513742014,0,1,1,4.73400800167954,1.44555281879508,1.52503174053602,NA,-0.118857443444968,0.19154269748221,0.893333333333333,-9.11616461331101e-17,0.210211920023836,0.997777777777778,0.0174522222222222,1.8030456138311,0.985555555555556,0.995555555555556,0.233333333333333,0.238527777777778,0.064084191485847,0.0815255950281828,0.0942079545603191,0.0283129349062971
"S4A","rep07","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep07_full_fit.rds",-0.0702065535874903,0.00653170895171307,0.0206250417221257,0.0804438093781654,0.0326983129038514,0.0338077685142014,1,1,1,4.68753901720273,1.18458172858528,1.72165793538686,NA,-0.0702065535874901,0.119637743154596,1,-2.33146835171283e-17,0.256322343114804,0.996666666666667,0.0215455555555555,1.73856079847672,0.987777777777778,0.995555555555556,0.308888888888889,0.327453888888889,0.030683169719785,0.041495630736209,0.0423869730936654,0.0108903065949302
"S4A","rep08","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep08_full_fit.rds",-0.410586316125691,-0.00873026665270205,-0.0243416336020633,0.437285662956027,0.0350851182571786,0.0373811505673218,0,1,1,5.11235682205634,1.2939234946531,1.76107888535346,NA,-0.410586316125692,1.05968437301841,0.868888888888889,-1.88984630413971e-16,1.91255767379166,0.964444444444444,0.0257438888888888,2.05426025851697,0.988888888888889,0.996666666666667,0.312222222222222,0.334826111111111,0.0307694618552736,0.0502128746219293,0.0636106667999208,0.00680757273965234
"S4A","rep09","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep09_full_fit.rds",-0.0315053784545132,0.0478745677446846,0.00122856108612379,0.0435031919737931,0.0552873924625654,0.0268424348457315,1,1,1,3.57673175195087,1.6189573753497,1.8066406459356,NA,-0.0315053784545134,0.0996170878191847,0.965555555555556,-1.50496898893632e-17,0.194214094654819,0.994444444444444,0.0210961111111111,1.71209498024756,0.984444444444444,0.996666666666667,0.217777777777778,0.239175555555556,0.0142117700305871,0.0319489793904106,0.0367791320924969,0.00577042459654749
"S4A","rep10","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep10_full_fit.rds",-0.116440723190107,-0.0195322047278971,-0.01540079222704,0.130865487598144,0.0373943019812542,0.032014205124972,0,1,1,4.98365192655734,0.971922570300843,0.983559715094077,NA,-0.116440723190107,0.385997662954612,0.765555555555556,-2.83723661848651e-18,0.748797103832764,0.966666666666667,0.0241422222222222,2.02441753337706,0.976666666666667,0.993333333333333,0.223333333333333,0.231079444444444,-0.00318511572787162,0.0363644640458382,0.0476334821057182,-0.000409467366334914
"S4B","rep01","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep01_full_fit.rds",-0.16131485365772,0.0119217501544884,-0.0026368370418573,0.169883342253222,0.0246388731024852,0.0186308290177418,0,1,1,4.96808008545089,0.806144410579623,1.18672832031949,NA,-0.161314853657721,0.329028397233883,0.843333333333333,2.37371850570551e-16,0.658646566900127,0.943333333333333,0.0483972222222225,4.30804902940092,0.955555555555556,0.985555555555556,0.224444444444444,0.222712777777778,0.104792326847156,0.114827293144575,0.122096486173777,0.0353703121072741
"S4B","rep02","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep02_full_fit.rds",-0.0116261809900564,-0.0167266436021494,0.0141242597519876,0.0248815228447211,0.0246384916855872,0.0222742447351005,1,1,1,3.34884518272548,0.770343587963709,0.957231177863877,NA,-0.0116261809900565,0.0685652604411368,1,1.70850987678427e-17,0.141664406535501,0.998888888888889,0.0687222222222223,5.29162893214892,0.956666666666667,0.982222222222222,0.105555555555556,0.111224444444444,0.00245653671104303,0.0285332527866906,0.0356983831114546,0.00140257682944986
