"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.5,-1.52294777908558,-0.0229477790855848,0.0250787851269773,0,132.808669544203,0.387116026793817,NA,"S1","rep16","old_kappa_conditioned"
"beta1",0.5,0.5060213969605,0.00602139696049953,0.0116698348145051,1,48.0574771646288,0.140079858352272,NA,"S1","rep16","old_kappa_conditioned"
"beta2",-0.4,-0.399999517707292,4.82292707881804e-07,0.00943712810302199,1,103.564080921757,0.301872729111562,NA,"S1","rep16","old_kappa_conditioned"
"r_mean",15,13.9851848041505,-1.0148151958495,1.26218561811394,1,1215.84143822778,3.54398329863071,NA,"S1","rep16","old_kappa_conditioned"
"beta0",-1.5,-1.51680044426471,-0.0168004442647134,0.0192014420363291,1,233.656997685361,0.681625109206592,NA,"S1","rep17","old_kappa_conditioned"
"beta1",0.5,0.484979556332028,-0.0150204436679715,0.0175125786238376,1,67.2226050195801,0.196102046767391,NA,"S1","rep17","old_kappa_conditioned"
"beta2",-0.4,-0.382335905388533,0.0176640946114669,0.0195464493373817,0,83.8576068409226,0.244629739263009,NA,"S1","rep17","old_kappa_conditioned"
"r_mean",15,15.3672809827482,0.367280982748175,0.845915994393521,1,1200.35467582609,3.50167936377564,NA,"S1","rep17","old_kappa_conditioned"
"beta0",-1.5,-1.493687049021,0.00631295097900475,0.0111059309763075,1,127.41234583754,0.371109684725825,NA,"S1","rep18","old_kappa_conditioned"
"beta1",0.5,0.515240826354977,0.0152408263549767,0.0175856023549281,1,61.2410229201511,0.178374682286778,NA,"S1","rep18","old_kappa_conditioned"
"beta2",-0.4,-0.410828804489249,-0.0108288044892486,0.0140608996238491,1,51.0621609342614,0.148727050908357,NA,"S1","rep18","old_kappa_conditioned"
"r_mean",15,14.6019137820294,-0.398086217970636,0.88677379233575,1,1139.2100717877,3.31813913164021,NA,"S1","rep18","old_kappa_conditioned"
"beta0",-1.5,-1.49797779183156,0.00202220816843957,0.00988082171261397,1,192.920734048963,0.561552308546854,NA,"S1","rep19","old_kappa_conditioned"
"beta1",0.5,0.506175596178592,0.00617559617859198,0.0123955371076639,1,59.5875523641529,0.173447026084061,NA,"S1","rep19","old_kappa_conditioned"
"beta2",-0.4,-0.417554152266821,-0.0175541522668214,0.0200718614290203,1,75.9175087467267,0.220980147654998,NA,"S1","rep19","old_kappa_conditioned"
"r_mean",15,13.7723982719493,-1.2276017280507,1.42919742043151,1,846.238788015865,2.46322588048828,NA,"S1","rep19","old_kappa_conditioned"
"beta0",-1.5,-1.4879426117108,0.0120573882892021,0.0151520645003376,1,315.614220951849,0.920029328116881,NA,"S1","rep20","old_kappa_conditioned"
"beta1",0.5,0.489730936329949,-0.0102690636700508,0.013985076205194,1,92.943575592542,0.270934608546149,NA,"S1","rep20","old_kappa_conditioned"
"beta2",-0.4,-0.396512724245016,0.00348727575498375,0.0105769745414875,1,94.8434722421332,0.276472890797004,NA,"S1","rep20","old_kappa_conditioned"
"r_mean",15,15.5469201965698,0.546920196569779,1.03142644470451,1,988.4131045369,2.88126764924113,NA,"S1","rep20","old_kappa_conditioned"
"beta0",-1.55101809603453,-1.55358219363758,-0.00256409760304854,0.00977756807815027,1,314.805309935203,0.798175762881875,NA,"S2","rep01","old_kappa_conditioned"
"beta1",0.5,0.489760406108854,-0.0102395938911459,0.0138460105283174,1,95.0031583919235,0.240876554595821,NA,"S2","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.396368667264908,0.00363133273509153,0.0107700800223445,1,35.9283875671893,0.0910949315354933,NA,"S2","rep01","old_kappa_conditioned"
"r_mean",15,15.3192567247391,0.319256724739095,0.913340794158432,1,1029.23505338345,2.60958264677363,NA,"S2","rep01","old_kappa_conditioned"
"beta0",-1.52214568450129,-1.52372061683154,-0.00157493233025785,0.00891937828542393,1,408.239107164949,1.03980557642291,NA,"S2","rep02","old_kappa_conditioned"
"beta1",0.5,0.487548889702908,-0.0124511102970919,0.0156410079168334,1,72.8490736524716,0.185550261333677,NA,"S2","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.415787945620454,-0.0157879456204543,0.0185253751677256,1,76.5214619318517,0.194904019326653,NA,"S2","rep02","old_kappa_conditioned"
"r_mean",15,16.6535297516207,1.65352975162066,1.87485971108704,0,1239.86173067097,3.15799030254131,NA,"S2","rep02","old_kappa_conditioned"
"beta0",-1.40397869793906,-1.40104787563252,0.00293082230653874,0.00990463868253615,1,233.096513663904,0.591132408701297,NA,"S2","rep03","old_kappa_conditioned"
"beta1",0.5,0.499996100866202,-3.89913379755802e-06,0.00956105809634558,1,43.316323595108,0.10985013160592,NA,"S2","rep03","old_kappa_conditioned"
"beta2",-0.4,-0.409887289451349,-0.00988728945134887,0.0143217379131553,1,54.1360410700874,0.137288918878707,NA,"S2","rep03","old_kappa_conditioned"
"r_mean",15,14.9318883465102,-0.0681116534897548,0.783226137754854,1,1046.9506934979,2.65506538691206,NA,"S2","rep03","old_kappa_conditioned"
"beta0",-1.59011227919885,-1.59516746354502,-0.00505518434617303,0.0107098016997549,1,464.801396308589,1.18646544202247,NA,"S2","rep04","old_kappa_conditioned"
"beta1",0.5,0.504363358564588,0.00436335856458758,0.0116456614760855,1,58.5127329662899,0.149361288787309,NA,"S2","rep04","old_kappa_conditioned"
"beta2",-0.4,-0.410756831316456,-0.0107568313164555,0.0149002111124139,1,68.1215818147642,0.173889113331027,NA,"S2","rep04","old_kappa_conditioned"
"r_mean",15,15.4646355894198,0.464635589419789,1.0104760047406,1,1027.55462517278,2.6229655552679,NA,"S2","rep04","old_kappa_conditioned"
