"rep_id","scenario_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered","covered_95","fit_status","nonfailed","stable_fit"
4,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.57351225838649,0.0342321402297069,0.508819763299064,0.5732967539574,0.640133118397931,0.0735122583864902,0,0,"numerical_instability",FALSE,FALSE
4,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,3.40890090819705,1.32161049637193,0.990213482609193,4.04988001235572,4.96022563250101,3.80890090819705,0,0,"numerical_instability",FALSE,FALSE
5,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-5.6231423755845,-5.62695063086459,0.0264090751763193,-5.67999746692743,-5.62630427934427,-5.57572488935449,-0.00380825528009687,1,1,"soft_warning",TRUE,FALSE
5,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.528724882311778,0.0262600554443231,0.477050134167059,0.529015084437283,0.579086582651903,0.0287248823117782,1,1,"soft_warning",TRUE,FALSE
5,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,4.14152540124212,0.461546787930641,3.24741866193724,4.09416818138189,4.95597442994994,4.54152540124212,0,0,"soft_warning",TRUE,FALSE
6,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-6.0011894022961,-6.11018491483866,0.032647493060944,-6.17661089089192,-6.10926464862678,-6.04757158932794,-0.108995512542569,0,0,"stable",TRUE,TRUE
6,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.501539429437126,0.0319002104891845,0.439220225493089,0.501784665785561,0.5633863984251,0.00153942943712593,1,1,"stable",TRUE,TRUE
6,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,-3.41442245786674,0.548769551152974,-4.36317748293701,-3.43263775697554,-2.37604427622537,-3.01442245786674,0,0,"stable",TRUE,TRUE
7,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-12.575081040253,-41579.5022762862,7999.3811328179,-54741.5441963874,-41573.3857148295,-28412.3635926229,-41566.9271952459,0,0,"numerical_instability",FALSE,FALSE
7,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.525017959153336,0,0.525017959153336,0.525017959153336,0.525017959153336,0.0250179591533364,0,0,"numerical_instability",FALSE,FALSE
7,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,-0.525955219611027,0,-0.525955219611027,-0.525955219611027,-0.525955219611027,-0.125955219611027,0,0,"numerical_instability",FALSE,FALSE
8,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-6.1070761548057,-6.2413192424276,0.0408126606226721,-6.32392347171028,-6.24148393648358,-6.16066522216643,-0.134243087621899,0,0,"stable",TRUE,TRUE
8,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.513291271135326,0.0355350663129634,0.446428493233243,0.513316406156817,0.585399186225072,0.0132912711353264,1,1,"stable",TRUE,TRUE
8,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,-2.98389923995544,0.66643525473135,-4.11922902376025,-3.07439804575593,-1.54775780430658,-2.58389923995544,0,0,"stable",TRUE,TRUE
9,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-5.71259269926043,-5.71011360360874,0.0279036688094345,-5.76559454809184,-5.70987056663832,-5.65702226745773,0.00247909565168491,1,1,"stable",TRUE,TRUE
9,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.449869884477863,0.0263420957997605,0.399378230161392,0.449602961870838,0.500033649484456,-0.0501301155221373,1,1,"stable",TRUE,TRUE
9,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,-0.171876814224983,0.525202911574458,-0.877413877418481,-0.317163489145989,0.990907527551555,0.228123185775017,1,1,"stable",TRUE,TRUE
10,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-5.54605021652164,-5.59774274867721,0.0267370751009826,-5.65019009511167,-5.59769797764592,-5.54629197154292,-0.051692532155573,0,0,"stable",TRUE,TRUE
10,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.52917954349476,0.0268824726675385,0.475666703618561,0.529558762831332,0.581331760532972,0.0291795434947603,1,1,"stable",TRUE,TRUE
10,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,0.307075709038211,0.611601896527629,-0.900734444785388,0.32479698867042,1.49086200876053,0.707075709038211,1,1,"stable",TRUE,TRUE
