"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta1",0.5,0.487009682089706,-0.0129903179102938,0.0158643586235692,1,2518.04046319884,21.8210534529971,NA,"S1","rep17","revised_kappa_collapsed"
"beta2",-0.4,-0.383613324118627,0.0163866758813727,0.0187459817400534,1,1911.23815397106,16.5625733695435,NA,"S1","rep17","revised_kappa_collapsed"
"r_mean",15,15.3766459534457,0.376645953445735,0.877342980138521,1,2825.70093106132,24.4872042209131,NA,"S1","rep17","revised_kappa_collapsed"
"beta0",-1.5,-1.49372704525394,0.00627295474606071,0.0112137018229816,1,3360.05568521855,29.1186190136124,NA,"S1","rep18","revised_kappa_collapsed"
"beta1",0.5,0.514682563522805,0.0146825635228054,0.0173464238643101,1,2334.11189260132,20.2276751646689,NA,"S1","rep18","revised_kappa_collapsed"
"beta2",-0.4,-0.410671008991505,-0.0106710089915047,0.0142849579404359,1,2063.88513414905,17.8858598009323,NA,"S1","rep18","revised_kappa_collapsed"
"r_mean",15,14.5929611372317,-0.407038862768326,0.860816306038707,1,2793.76344568156,24.2110670209524,NA,"S1","rep18","revised_kappa_collapsed"
"beta0",-1.5,-1.49810479579092,0.00189520420908362,0.00981802013283615,1,3718.8198895309,32.3645816466595,NA,"S1","rep19","revised_kappa_collapsed"
"beta1",0.5,0.503764811631848,0.00376481163184772,0.0111109150253588,1,1755.48909264262,15.2778762500969,NA,"S1","rep19","revised_kappa_collapsed"
"beta2",-0.4,-0.417219026492952,-0.0172190264929518,0.0199561794176052,1,2070.7614238303,18.0216652495001,NA,"S1","rep19","revised_kappa_collapsed"
"r_mean",15,13.762152944232,-1.23784705576797,1.4538332065855,1,3031.9302363151,26.3866378569288,NA,"S1","rep19","revised_kappa_collapsed"
"beta0",-1.5,-1.48913869300796,0.0108613069920365,0.0144258993981171,1,3683.4717980188,31.8672509084362,NA,"S1","rep20","revised_kappa_collapsed"
"beta1",0.5,0.490487827557716,-0.00951217244228403,0.0137037644559302,1,1979.81237161779,17.1281826107382,NA,"S1","rep20","revised_kappa_collapsed"
"beta2",-0.4,-0.396635904830697,0.00336409516930269,0.0102578432386661,1,2012.35935335074,17.409760125124,NA,"S1","rep20","revised_kappa_collapsed"
"r_mean",15,15.511877222896,0.511877222895988,1.02980059953239,1,2647.95897714416,22.9085975804906,NA,"S1","rep20","revised_kappa_collapsed"
"beta0",-1.55101809603453,-1.55384687270306,-0.0028287766685311,0.00986580034239141,1,3910.85176458639,17.3532583057546,NA,"S2","rep01","revised_kappa_collapsed"
"beta1",0.5,0.487941597115367,-0.012058402884633,0.0160305954223332,1,1415.6533611546,6.28154681544763,NA,"S2","rep01","revised_kappa_collapsed"
"beta2",-0.4,-0.397357794187495,0.00264220581250552,0.0102661443492951,1,1789.33434846633,7.93964665842534,NA,"S2","rep01","revised_kappa_collapsed"
"r_mean",15,15.3312376538205,0.331237653820521,0.919401001962017,1,2736.78541895032,12.1436830545507,NA,"S2","rep01","revised_kappa_collapsed"
"beta0",-1.52214568450129,-1.5246433927779,-0.00249770827661644,0.00923548814366982,1,3893.77991334383,17.2810342282159,NA,"S2","rep02","revised_kappa_collapsed"
"beta1",0.5,0.488004428970955,-0.0119955710290454,0.0154667186383454,1,1541.08415149371,6.8395052014262,NA,"S2","rep02","revised_kappa_collapsed"
