"file","readable","ncol","columns"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/scenario3_source_data_manifest.csv",TRUE,5,"scenario_id | legacy_source_data_scenario_id | rep_id | data_file | status"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_beta_summary.csv",TRUE,12,"scenario_id | rep_id | parameter | truth | post_mean | post_sd | q025 | q50 | q975 | bias | covered | covered_95"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_gamma_summary.csv",TRUE,15,"scenario_id | rep_id | parameter | truth | mean | sd | q025 | q50 | q975 | bias | covered | covered_95 | median | gamma_accept_rate | gamma_proposal_sd_final"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_lambda_path_recovery.csv",TRUE,22,"scenario_id | rep_id | TT | n1 | gamma_truth_mean | gamma_learned_mean | gamma_learned_sd | lambda_truth_min | lambda_truth_max | lambda_post_mean_min | lambda_post_mean_max | lambda_rmse | lambda_mae | lambda_coverage_95 | log_lambda_rmse | log_lambda_mae | log_lambda_coverage_95 | cor_lambda | cor_log_lambda | rmse_delta_log_lambda | mae_delta_log_lambda | cor_delta_log_lambda"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_latent_risk_performance.csv",TRUE,22,"scenario_id | rep_id | TT | n1 | gamma_truth_mean | gamma_learned_mean | gamma_learned_sd | lambda_truth_min | lambda_truth_max | lambda_post_mean_min | lambda_post_mean_max | lambda_rmse | lambda_mae | lambda_coverage_95 | log_lambda_rmse | log_lambda_mae | log_lambda_coverage_95 | cor_lambda | cor_log_lambda | rmse_delta_log_lambda | mae_delta_log_lambda | cor_delta_log_lambda"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_performance_diagnostics.csv",TRUE,40,"scenario_id | rep_id | TT | n1 | mean_count | zero_prop | dynamic_lambda_in_truth | lambda_sampled_in_fit | gamma_fixed_in_fit | gamma_learned_in_fit | gamma_truth_mean | gamma_learned_mean | gamma_learned_sd | gamma_bias | gamma_covered | gamma_accept_rate | lambda_truth_min | lambda_truth_max | lambda_post_mean_min | lambda_post_mean_max | phi_rmse | phi_cor | r_rmse | r_mean_bias | beta0_bias | beta1_bias | beta2_bias | beta0_covered | beta1_covered | beta2_covered | phi_coverage | r_coverage | log_lambda_rmse | log_lambda_coverage_95 | cor_log_lambda | cor_delta_log_lambda | phi_accept_rate | r_accept_rate_mean | beta_mean_n_reject | elapsed_sec"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_phi_summary.csv",TRUE,10,"scenario_id | rep_id | region | truth | mean | q025 | q50 | q975 | bias | covered"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/posterior_r_summary.csv",TRUE,10,"scenario_id | rep_id | region | truth | mean | q025 | q50 | q975 | bias | covered"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/s3_mcmc_acceptance_summary.csv",TRUE,13,"scenario_id | rep_id | n_stored | phi_accept_rate | r_accept_rate_mean | gamma_accept_rate | beta_mean_n_reject | elapsed_sec | loglik_nb_mean | gamma_mean | gamma_sd | gamma_acf1 | gamma_ess"
"analysis_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/tables/s3_mcmc_extra_diagnostics.csv",TRUE,8,"scenario_id | rep_id | parameter | n_draws | mean | sd | acf1 | ess"
