"scenario","rep","status","finite_status","lambda_mode","gamma_mode","gamma_fixed","n_iter","n_burnin","n_thin","n_stored","beta_dim","beta0_mean","beta1_mean","beta2_mean","loglik_last","lambda_max","kappa_max","r_accept_mean","gamma_accept_mean","delta_accept_rate","elapsed_sec","fit_file","error","baseline_analysis_status"
"S3","rep03","nonfinite_output","omega_nonfinite_174","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.40118309118627,0.498918117366642,-0.409950111684089,-3548.62524393934,2.02613906892016,2.91332652414777,0.322777777777778,0.802888888888889,0.88955,457.098310947418,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep03_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep04","nonfinite_output","omega_nonfinite_6","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.59441755329287,0.505645714541676,-0.413408007983752,-3437.54186565535,1.95065713923427,2.66386941387096,0.323361111111111,0.789761111111111,0.905,454.257102012634,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep04_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep05","nonfinite_output","omega_nonfinite_3","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.52826954700945,0.48930827256054,-0.398839192886588,-3601.60344412822,1.56152132306349,2.4587308450207,0.320277777777778,0.791794444444444,0.88565,462.074868917465,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep05_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep06","nonfinite_output","omega_nonfinite_6","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.45972456461816,0.505214531151157,-0.400352290311233,-3547.37494789101,2.00991851910813,2.48468198073035,0.322916666666667,0.73265,0.90405,455.681066989899,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep06_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep07","nonfinite_output","omega_nonfinite_63","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.47679803648125,0.497815728973809,-0.39216530248944,-3405.0651924404,2.05080073881783,2.65056210553294,0.322516666666667,0.75335,0.8974,456.260491847992,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep07_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep08","ok","ok","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.51176985328687,0.51990673538134,-0.394545620322793,-3433.03296951824,1.80151089785164,2.46754128708797,0.321561111111111,0.761522222222222,0.9022,470.634212970734,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep08_full_fit.rds","","analysis_ok"
"S3","rep09","ok","ok","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.65744340208824,0.489701677821164,-0.402046434940804,-3468.76611767654,1.97290306831713,2.6304609929796,0.322722222222222,0.759905555555556,0.8975,456.883937835693,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep09_full_fit.rds","","analysis_ok"
"S3","rep10","nonfinite_output","omega_nonfinite_2544","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.66766437327479,0.529715961411684,-0.393831479184999,-3477.89119708919,1.81034289997912,2.71527683470379,0.322055555555556,0.807377777777778,0.88005,454.244801998138,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep10_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep11","ok","ok","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.471316806917,0.488929237910835,-0.398978322219727,-3513.81521332091,1.91817929644841,2.61683658841837,0.322788888888889,0.796905555555556,0.9108,453.740473985672,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep11_full_fit.rds","","analysis_ok"
"S3","rep12","nonfinite_output","omega_nonfinite_192","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.53047531133587,0.487878623161617,-0.408224042518217,-3577.86496257948,1.61243265872446,2.68095769408318,0.322127777777778,0.812011111111111,0.9,455.037052154541,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep12_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep13","nonfinite_output","omega_nonfinite_159","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.45227360338117,0.51098431849058,-0.385037361584852,-3470.22987326477,2.29817179530194,2.8750749323955,0.324127777777778,0.763527777777778,0.8734,455.530454874039,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep13_full_fit.rds","","analysis_ok_with_omega_warning"
"S3","rep14","nonfinite_output","omega_nonfinite_135","dynamic","learned",NA,20000,10000,5,2000,"2000 x 2",-1.59418426068569,0.506947596652395,-0.401729212890509,-3542.69843809778,1.64788161011283,2.78232222343008,0.322344444444444,0.801583333333333,0.90225,454.630675077438,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S3_rep14_full_fit.rds","","analysis_ok_with_omega_warning"
